コメント,上場日,上場No.,馬名,性,毛色,生月日,父,母,母の父,申込者名,飼養者名,当日の上場順
"No.1
セシリア２０２１
牡　1月10日生　鹿毛
父：ドゥラメンテ
母：セシリア
母父：アグネスタキオン
㈲天羽牧場",7/26（火）,1,セシリア２０２１,牡,鹿,1月10日,ドゥラメンテ,セシリア,アグネスタキオン,㈲天羽牧場,㈲荻伏共同育成場,1
"No.2
ファーストレディ２０２１
牡　5月8日生　鹿毛
父：ニューイヤーズデイ
母：ファーストレディ
母父：スマートボーイ
㈲グランド牧場",7/26（火）,2,ファーストレディ２０２１,牡,鹿,5月8日,ニューイヤーズデイ,ファーストレディ,スマートボーイ,㈲グランド牧場,㈲グランド牧場,2
"No.3
プリンセスオブザスターズ２０２１
牡　1月26日生　鹿毛
父：デクラレーションオブウォー
母：プリンセスオブザスターズ
母父：Sea The Stars
㈱タイヘイ牧場",7/26（火）,3,プリンセスオブザスターズ２０２１,牡,鹿,1月26日,デクラレーションオブウォー,プリンセスオブザスターズ,Sea The Stars,㈱タイヘイ牧場,㈱タイヘイ牧場,3
"No.4
テメノス２０２１
牡　3月19日生　栗毛
父：マジェスティックウォリアー
母：テメノス
母父：ハーツクライ
（同）Ｊｕｎｎｙ",7/26（火）,4,テメノス２０２１,牡,栗,3月19日,マジェスティックウォリアー,テメノス,ハーツクライ,（同）Ｊｕｎｎｙ,イワミ牧場,4
"No.5
アマルフィターナ２０２１
牡　2月21日生　鹿毛
父：キズナ
母：アマルフィターナ
母父：シンボリクリスエス
㈲アクセス・ワン",7/26（火）,5,アマルフィターナ２０２１,牡,鹿,2月21日,キズナ,アマルフィターナ,シンボリクリスエス,㈲アクセス・ワン,㈲チェスナットファーム,5
"No.6
レッドビアンカ２０２１
牡　2月25日生　栗毛
父：コパノリッキー
母：レッドビアンカ
母父：ハードスパン
㈱タガミファーム",7/26（火）,6,レッドビアンカ２０２１,牡,栗,2月25日,コパノリッキー,レッドビアンカ,ハードスパン,㈱タガミファーム,㈱ＭＡＸトレーニングファーム,6
"No.7
バリアーモ２０２１
♀　4月9日生　鹿毛
父：キタサンブラック
母：バリアーモ
母父：シンボリクリスエス
㈲新冠橋本牧場",7/26（火）,7,バリアーモ２０２１,♀,鹿,4月9日,キタサンブラック,バリアーモ,シンボリクリスエス,㈲新冠橋本牧場,㈲新冠橋本牧場,7
"No.8
ダイワドレッサー２０２１
牡　3月17日生　栗毛
父：カリフォルニアクローム
母：ダイワドレッサー
母父：ネオユニヴァース
㈲矢野牧場",7/26（火）,8,ダイワドレッサー２０２１,牡,栗,3月17日,カリフォルニアクローム,ダイワドレッサー,ネオユニヴァース,㈲矢野牧場,㈲矢野牧場,8
"No.9
アリデッド２０２１
牡　4月11日生　鹿毛
父：ハービンジャー
母：アリデッド
母父：ダンスインザダーク
㈲杵臼牧場",7/26（火）,9,アリデッド２０２１,牡,鹿,4月11日,ハービンジャー,アリデッド,ダンスインザダーク,㈲杵臼牧場,アーカムパートナーファーム,9
"No.10
モンプティクール２０２１
牡　1月26日生　鹿毛
父：リオンディーズ
母：モンプティクール
母父：クロフネ
㈱ハシモトファーム",7/26（火）,10,モンプティクール２０２１,牡,鹿,1月26日,リオンディーズ,モンプティクール,クロフネ,㈱ハシモトファーム,㈱ハシモトファーム,10
"No.11
キャルスカイ２０２１
牡　3月11日生　栗毛
父：アジアエクスプレス
母：キャルスカイ
母父：ダイワメジャー
㈲千代田牧場",7/26（火）,11,キャルスカイ２０２１,牡,栗,3月11日,アジアエクスプレス,キャルスカイ,ダイワメジャー,㈲千代田牧場,㈲千代田牧場,11
"No.12
マイルストーン２０２１
牡　4月7日生　鹿毛
父：サトノアラジン
母：マイルストーン
母父：タイキシャトル
㈲ヤマイチ牧場",7/26（火）,12,マイルストーン２０２１,牡,鹿,4月7日,サトノアラジン,マイルストーン,タイキシャトル,㈲ヤマイチ牧場,クラックステーブル,12
