コメント,No,上場馬名,性,生月日,毛色,父,母,母の父,販売者,販売者カナ,飼養者
"No.0
タヌキの2021
牡　1/1生　ぶち毛
父：ホンドタヌキのオス
母：エゾタヌキのメス
母父：老タヌキ
販売者：たぬき動物園",0,タヌキの2021,牡,1/1,ぶち,ホンドタヌキのオス,エゾタヌキのメス,老タヌキ,たぬき動物園,タヌキドウブツエン,たぬき動物園
"No.1
サマーハの2021
牡　3/3生　鹿毛
父：リアルスティール
母：サマーハ
母父：Singspiel
販売者：(有)ノーザンレーシング",1,サマーハの2021,牡,3/3,鹿,リアルスティール,サマーハ,Singspiel,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.2
シンハディーパの2021
牡　3/10生　栗毛
父：レイデオロ
母：シンハディーパ
母父：ウォーエンブレム
販売者：(有)ノーザンレーシング",2,シンハディーパの2021,牡,3/10,栗,レイデオロ,シンハディーパ,ウォーエンブレム,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.3
ランニングボブキャッツの2021
めす　2/6生　鹿毛
父：ドレフォン
母：ランニングボブキャッツ
母父：Running Stag
販売者：ノーザンファーム",3,ランニングボブキャッツの2021,めす,2/6,鹿,ドレフォン,ランニングボブキャッツ,Running Stag,ノーザンファーム,ノーザンファーム,ノーザンファームYearling
"No.4
ティファニーズオナーの2021
牡　1/21生　黒鹿毛
父：キズナ
母：ティファニーズオナー
母父：Street Cry
販売者：ノーザンファーム",4,ティファニーズオナーの2021,牡,1/21,黒鹿,キズナ,ティファニーズオナー,Street Cry,ノーザンファーム,ノーザンファーム,ノーザンファームYearling
"No.5
オーロラエンブレムの2021
めす　3/28生　鹿毛
父：ハービンジャー
母：オーロラエンブレム
母父：ディープインパクト
販売者：(有)ノーザンレーシング",5,オーロラエンブレムの2021,めす,3/28,鹿,ハービンジャー,オーロラエンブレム,ディープインパクト,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
"No.6
ジャドールの2021
牡　4/14生　青鹿毛
父：ブリックスアンドモルタル
母：ジャドール
母父：フジキセキ
販売者：社台ファーム",6,ジャドールの2021,牡,4/14,青鹿,ブリックスアンドモルタル,ジャドール,フジキセキ,社台ファーム,シャダイファーム,社台ファーム
"No.7
レディマカパの2021
牡　3/17生　鹿毛
父：ダイワメジャー
母：レディマカパ
母父：Equiano
販売者：追分ファーム",7,レディマカパの2021,牡,3/17,鹿,ダイワメジャー,レディマカパ,Equiano,追分ファーム,オイワケファーム,追分ファーム　リリーバレー
"No.8
メジロシャレードの2021
牡　3/2生　黒鹿毛
父：ルーラーシップ
母：メジロシャレード
母父：マンハッタンカフェ
販売者：(株)レイクヴィラファーム",8,メジロシャレードの2021,牡,3/2,黒鹿,ルーラーシップ,メジロシャレード,マンハッタンカフェ,(株)レイクヴィラファーム,レイクヴィラファーム,ノーザンファームYearling
"No.9
アウェイクの2021
牡　2/26生　鹿毛
父：エピファネイア
母：アウェイク
母父：ディープインパクト
販売者：(有)ノーザンレーシング",9,アウェイクの2021,牡,2/26,鹿,エピファネイア,アウェイク,ディープインパクト,(有)ノーザンレーシング,ノーザンレーシング,ノーザンファームYearling
